id,value
1,60577781.903903075
2,106927595.3136363
4,89716352.49379405
5,95650830.83454062
6,63587762.38220769
10,82146344.48596404
11,69498458.37025718
15,83928558.40108821
17,72830061.650522
23,65449880.86889502
25,66951712.31274637
28,68103156.79501292
31,69688808.77907969
35,43576423.506639086
39,21794788.10433996
40,26932505.54510984
43,66700750.61765913
48,51967784.52830508
51,34028033.700710215
55,60607374.183912605
56,60687882.24142923
57,41297286.04907451
61,51457141.644449666
62,48842843.371726744
69,36662252.48444894
70,30134327.502577405
71,38629222.05117242
74,43674419.09154979
80,50208929.11458395
82,45093252.33574784
84,40591030.502193935
85,38977080.18364085
88,38334022.74344987
90,34200210.66599133
91,34032616.07111044
95,30688306.920971725
101,32598689.103947207
104,14876978.500656342
111,33159521.547804177
113,32813530.88329003
116,43651098.11934897
120,34461973.7920863
122,38621982.71560258
130,29024162.680959832
136,32189185.24758761
138,28408594.94750799
141,23207827.32750917
144,26849128.872327313
146,23215639.442005895
147,19695098.973654862
150,18017750.167040855
151,29683501.187002677
152,5232081.6701467885
158,22600680.542485163
159,28261787.002470978
160,29961414.895639185
162,32066244.624366887
168,31826341.68133499
172,27905942.7450783
177,27395749.06951207
181,26542682.101843573
183,34160216.95361593
184,33416400.487607073
186,30311359.799125798
187,29565203.613369297
192,28027591.531486243
193,30109782.27477435
194,23257736.972659834
200,23829022.568953328
201,12546341.145431412
204,25071011.391865123
206,28166159.047159076
208,25524355.421441905
219,20054620.046297975
221,10281284.838169953
227,29435252.951401852
231,6301902.5435171295
233,29506042.932604592
235,27580910.998182632
237,21367371.631482024
238,25267610.752616767
239,25351780.56144245
255,20960570.59180068
258,21234969.74437346
260,23787635.47883031
272,22400624.15450277
273,20258308.153824784
275,26157140.17114729
279,19234256.410829917
281,22551212.113358833
284,21759709.11586984
286,20028656.46258507
292,19890693.548865076
300,12323292.670920456
301,11978406.590349955
303,14529777.343730936
304,19468212.026679836
315,7645597.176987017
318,1949559.7225479884
320,16841640.964189604
322,21475418.386304498
323,25780591.178950805
326,25670542.013267726
328,24557911.351540018
337,22309327.443250634
339,20018319.845707536
342,20960890.03313401
343,23925554.967327453
360,17097579.074054312
364,20907821.537156723
365,17647779.92562404
367,19879023.53076429
368,16122915.708133873
369,13291230.395773849
372,16526212.731772222
376,20995159.964287348
379,17478762.780219235
380,22336099.033379707
383,15944578.901442992
385,10472656.823755905
386,13590133.433452468
390,15695235.54602023
391,15380634.706354836
393,15786107.142873574
400,9053886.412404044
403,8306888.839043562
413,21593542.650462326
416,20882536.996854328
423,15394196.30977751
424,17091111.095030412
426,14209510.325219356
427,19157619.770775598
428,13275073.787709264
429,19952032.10368402
431,11896900.99908737
432,17469265.25677023
433,17490888.448934264
439,9037106.478261871
443,16312178.147653855
444,19448213.858653326
446,19459230.741727665
449,18783132.041762237
456,17724639.358767778
457,13516930.893852448
464,14343991.852487644
468,18349730.08358266
472,12233911.3190365
474,16403718.72747691
483,11844970.366960403
488,13591226.382905371
494,12619921.141727278
499,9180507.322531464
505,11805691.771040905
506,14431541.965646693
510,13116408.651931968
511,10428516.637661181
512,6129629.510208195
517,9667183.44272915
521,13081632.939748868
522,8749512.379388647
523,12582708.066879855
526,11280722.701018982
531,9667183.44272915
540,2158806.8449715995
547,5744657.325383082
555,17588880.77243779
556,17955343.460928544
563,3893950.7950127674
564,18214508.45801397
566,10132828.469170691
573,9517821.32201213
574,17034696.285436302
581,17035556.230856933
588,12374939.346289687
590,15706427.748622831
591,15774397.67277768
595,15490032.954921873
596,13465778.555290643
597,16716916.43279908
599,14339728.503419077
600,10088266.768023962
602,11538159.480342384
603,14259450.195449712
606,14987630.324091347
613,11145080.91271594
615,11626615.443938782
620,15978512.628473507
623,12116415.879535874
624,10074777.545815114
628,10241763.260995891
630,13040917.740532331
635,14532899.807430452
636,13911253.633658266
638,15788275.841096455
662,10142816.378341166
664,11050743.118845494
665,10619191.662968324
670,12849977.220499674
672,12438955.334238768
677,12247689.094751887
680,11377821.933132155
695,8589904.557344813
705,8292005.64120825
713,5635094.039056915
716,3908043.0647427198
717,6085585.29293001
720,14094197.619520497
723,12444047.848491017
725,15584243.900864895
731,7834030.765544923
733,7796092.527433708
734,12603250.898787437
738,13299301.764316317
740,11979850.822700389
743,12927374.361923696
747,13470443.602191769
750,13199350.813913595
752,12342563.463958532
753,8907240.01322574
756,10171277.239517165
758,9885684.102791894
768,16227514.880094625
770,11749536.93761156
772,9379762.870074019
773,11134609.493804703
791,12508587.958240068
793,14312830.205568228
794,9999507.701785939
798,11924418.298409672
799,8397695.430941634
801,14213821.940825468
804,13819378.887087446
805,12898171.014828637
811,10123049.304108659
822,11788376.996756839
824,11724278.556425776
827,10949811.771518186
828,10156737.922564343
832,10320970.710488021
837,11670204.199579535
844,9917528.376537312
851,8895950.089003135
852,9594770.781177478
854,9947942.313659536
856,11717204.70042037
860,10309649.882312898
867,6389724.073735557
877,9591901.893940834
880,6421310.133810922
883,9931843.327679815
885,7928560.651726646
889,11081192.343982581
891,7544160.166720688
894,3607582.728058604
897,9362933.679273063
898,9013894.103641884
899,4603155.456667806
904,10511872.079320172
906,10095982.58213575
907,7370226.539295408
910,8172806.646115675
915,872925.8615497502
917,9023485.383122174
919,10866884.18824651
925,7169704.274015335
928,6475127.933082105
940,3512800.109451744
945,10142035.03870866
946,8296647.739894879
951,8276358.65536811
953,11755384.97833379
959,4276329.786502044
961,7181455.0508104665
963,5854470.339958104
965,5471232.83848024
971,4950042.977292872
973,6501875.322855677
983,4363182.312189431
985,8924085.880798796
997,5487129.271668356
998,5973023.497073048
999,8363470.971868989
1004,2703708.107824874
1012,6040084.957527272
1014,10894523.097497584
1021,4951961.710916644
1024,10240070.79255489
1028,10811722.34493726
1034,7563489.796142285
1037,5818886.338299747
1038,12118098.028776653
1041,7964392.818639115
1043,6900039.22721157
1044,12532672.875767488
1048,11415150.977489252
1054,16509465.005282
1058,8650398.636204112
1059,6050142.953876462
1061,11247394.115918636
1068,2745063.6564809117
1070,5883945.46534779
1075,11077242.941232922
1076,3237267.2537280987
1078,7875330.028576032
1080,7893194.956955154
1082,13230190.528927665
1084,2305443.405680337
1085,6501875.322855677
1088,10413955.024586499
1091,10651588.092886414
1094,12871683.39950819
1096,8394144.860116655
1099,8889311.586494906
1101,8779342.777947819
1103,8797632.735465836
1107,10196452.708059493
1108,9954165.566542853
1110,7159005.227134675
1117,8896676.696320055
1119,9877609.949066075
1120,8732914.905888349
1122,7016196.038980126
1130,16389492.401353126
1136,13960387.381899849
1137,7190162.507083192
1139,11909219.813760541
1140,10307379.83968775
1141,12231179.662665792
1144,9555879.431362597
1148,8328911.4032873195
1165,8490113.792593116
1168,14001161.055377796
1174,10209189.307505488
1179,9071460.833579164
1187,10471953.479610607
1188,9722203.413822396
1190,2883250.7858316004
1196,7761948.825525313
1197,4135812.802104244
1200,9160424.308551682
1201,9562120.003722407
1203,5023753.67099531
1205,7971933.55955014
1208,8346615.10547621
1212,7771050.5796297435
1213,7476189.345179319
1214,10469439.177334132
1217,7453996.980666631
1224,5977284.095371881
1228,9930318.37458279
1229,6639029.320116686
1239,7444210.527318601
1240,7414814.254161365
1247,10377939.591774998
1259,11801303.781998795
1261,8252330.046899874
1265,9338783.98279964
1268,8058149.630027749
1269,597963.9319915461
1271,12913532.753689853
1274,8120095.170318148
1275,7707546.045204924
1276,9295770.963375427
1277,3500229.0842515663
1278,8277984.6736649405
1288,6274027.906622109
1291,7241246.870056889
1296,8817675.030404061
1297,7715464.631830988
1302,12126627.719428053
1304,10044192.386980506
1306,7812619.349801438
1307,3036331.686258372
1309,2117582.305606643
1310,8007436.762170707
1314,6662382.514645845
1316,8235230.570974226
1317,13521668.581324484
1323,5241740.130433417
1324,7765027.518734866
1325,8627185.203132207
1326,1821362.8189559546
1331,5073206.117924393
1333,6108541.205835367
1334,7760802.157226043
1335,7320390.032166011
1337,8273330.7851436725
1347,10500062.013543356
